sample_id,true_label,pred_label,pred_prob,latency_ms,cpu_usage_percent,ram_usage_mb
0,1,1,0.6813504568778246,6.048899958841503,0.0,141.69921875
1,1,1,0.6587908779434917,3.7845999468117952,0.0,141.69921875
2,0,0,0.3296688470573392,4.054200020618737,0.0,141.69921875
3,0,0,0.48731204852672344,3.7739999825134873,0.0,141.69921875
4,1,1,0.7547321984666322,5.676400032825768,0.0,141.69921875
5,0,1,0.5275582195853548,4.098700010217726,0.0,141.7109375
6,1,1,0.7371813825105212,3.741899970918894,0.0,141.7109375
7,1,1,0.5830188059150158,4.03740000911057,97.7,141.7109375
8,1,1,0.5126326342758489,5.256199976429343,0.0,141.7109375
9,0,0,0.3975395615749201,4.094000090844929,0.0,141.7109375
10,1,1,0.5212872421274213,4.3135000159963965,0.0,141.72265625
11,1,1,0.7735229389066551,5.57390006724745,0.0,141.72265625
12,1,0,0.38514129299009353,3.889600047841668,0.0,141.72265625
13,0,0,0.49693335878057476,4.0574000449851155,0.0,141.72265625
14,1,0,0.4414782921197098,3.757899976335466,0.0,141.72265625
15,1,1,0.5635330719788079,6.004299968481064,0.0,141.72265625
16,1,1,0.6724090361738189,4.052500007674098,0.0,141.72265625
17,0,0,0.3068469899133818,3.8345999782904983,0.0,141.72265625
18,0,1,0.5547187749694572,3.9281999925151467,0.0,141.72265625
19,0,0,0.28376367379029144,4.409000044688582,0.0,141.72265625
20,1,1,0.5520776508913998,4.096800112165511,0.0,141.72265625
21,1,1,0.7426643547372722,4.0831000078469515,0.0,141.72265625
22,1,1,0.6898028748644172,5.154399899765849,0.0,141.72265625
23,0,0,0.4743998230705821,4.5174999395385385,0.0,141.72265625
24,0,0,0.35155970115914636,3.9842999540269375,0.0,141.72265625
25,1,1,0.5677277452779395,3.935400047339499,0.0,141.72265625
26,1,1,0.7237128941924962,5.050699925050139,0.0,141.72265625
27,0,1,0.5459543327975956,4.421500023454428,0.0,141.72265625
28,1,1,0.5809872422522641,3.832999966107309,0.0,141.72265625
29,1,1,0.5635003166846552,4.077699966728687,0.0,141.72265625
30,1,0,0.33211367035605066,5.382000003010035,0.0,141.72265625
31,0,0,0.42064429397240544,4.025500034913421,0.0,141.72265625
32,0,0,0.4065453788709532,3.98089992813766,0.0,141.72265625
33,1,0,0.4023034070814483,6.949900067411363,0.0,141.72265625
34,0,0,0.3865267557419776,5.143799935467541,0.0,141.72265625
35,0,1,0.513626549097292,4.794199950993061,0.0,141.72265625
36,1,1,0.6011437444353775,6.508699967525899,0.0,141.72265625
37,0,0,0.42713547622946857,4.409800050780177,0.0,141.72265625
38,0,0,0.34795061968725277,3.7507000379264355,0.0,141.72265625
39,1,1,0.583866324908856,4.135500057600439,0.0,141.72265625
40,1,0,0.43436722256059834,5.3368000080809,0.0,141.72265625
41,1,1,0.6231123884310881,4.183099954389036,0.0,141.72265625
42,1,1,0.5512835900132108,4.055500030517578,0.0,141.72265625
43,0,0,0.46405194914461834,6.8422999465838075,0.0,141.72265625
44,1,1,0.5652914502622516,5.055299960076809,0.0,141.72265625
45,1,1,0.681864309312431,3.8133999332785606,0.0,141.72265625
46,1,1,0.6973224351713107,4.856099956668913,104.2,141.72265625
47,1,1,0.5246730926517323,4.219099995680153,0.0,141.72265625
48,1,0,0.4494617363626343,4.136100062169135,0.0,141.72265625
49,0,0,0.43888892538884205,3.7264999700710177,0.0,141.72265625
50,0,0,0.48949819042849985,5.272500100545585,0.0,141.72265625
51,1,1,0.5704056946122917,4.023600020445883,0.0,141.72265625
52,1,1,0.5292940515508948,3.9188999217003584,0.0,141.72265625
53,0,1,0.5030291969857867,3.9718999760225415,0.0,141.72265625
54,0,0,0.4210125546246487,5.152300000190735,0.0,141.72265625
55,0,0,0.40609801941987655,4.285800037905574,0.0,141.72265625
56,1,1,0.5326191639769381,3.851699992083013,0.0,141.72265625
57,1,1,0.6102736433770621,4.055199911817908,0.0,141.72265625
58,0,0,0.4108464101298135,5.2408999763429165,0.0,141.72265625
59,0,0,0.42663584004855376,4.301500041037798,0.0,141.72265625
60,0,1,0.5213002633100429,3.750800038687885,0.0,141.72265625
61,0,0,0.4525541586957239,7.010499946773052,0.0,141.72265625
62,1,1,0.5439302645721749,5.2553999703377485,0.0,141.72265625
63,1,0,0.41041867789406516,4.385599982924759,0.0,141.72265625
64,0,0,0.38098468724666973,5.636400077491999,0.0,141.72265625
65,0,1,0.5531448720486025,4.670800059102476,0.0,141.72265625
66,0,0,0.4720274830087126,4.043700057081878,0.0,141.72265625
67,1,1,0.5098558333221799,4.087399924173951,0.0,141.72265625
68,1,1,0.6616372196216807,5.303400103002787,0.0,141.72265625
